id,vertices_json,status
Zone-0-8,"[[45.15953116164854, 10.788046580031079], [45.159589831528415, 10.788046580031079], [45.159589831528415, 10.787946003094149], [45.15953116164854, 10.788046580031079]]",0
Zone-0-9,"[[45.159589831528415, 10.788159887685609], [45.159589831528415, 10.788046580031079], [45.15953116164854, 10.788046580031079], [45.1595, 10.7881], [45.159589831528415, 10.788159887685609]]",0
Zone-1-7,"[[45.159605477020925, 10.787919182249848], [45.15967966305683, 10.787919182249848], [45.15967966305683, 10.787792006188297], [45.159605477020925, 10.787919182249848]]",0
Zone-1-8,"[[45.159589831528415, 10.787946003094149], [45.159589831528415, 10.788046580031079], [45.15967966305683, 10.788046580031079], [45.15967966305683, 10.787919182249848], [45.159605477020925, 10.787919182249848], [45.159589831528415, 10.787946003094149]]",0
Zone-1-9,"[[45.15961096671847, 10.78817397781231], [45.15967966305683, 10.78817397781231], [45.15967966305683, 10.788046580031079], [45.159589831528415, 10.788046580031079], [45.159589831528415, 10.788159887685609], [45.15961096671847, 10.78817397781231]]",0
Zone-1-10,"[[45.15967966305683, 10.788219775371218], [45.15967966305683, 10.78817397781231], [45.15961096671847, 10.78817397781231], [45.15967966305683, 10.788219775371218]]",0
Zone-2-5,"[[45.15975410776569, 10.787664386687386], [45.159769494585234, 10.787664386687386], [45.159769494585234, 10.787638009282459], [45.15975410776569, 10.787664386687386]]",0
Zone-2-6,"[[45.159679792393305, 10.787791784468617], [45.159769494585234, 10.787791784468617], [45.159769494585234, 10.787664386687386], [45.15975410776569, 10.787664386687386], [45.159679792393305, 10.787791784468617]]",0
Zone-2-7,"[[45.15967966305683, 10.787792006188297], [45.15967966305683, 10.787919182249848], [45.159769494585234, 10.787919182249848], [45.159769494585234, 10.787791784468617], [45.159679792393305, 10.787791784468617], [45.15967966305683, 10.787792006188297]]",0
Zone-2-8,"[[45.15967966305683, 10.787919182249848], [45.15967966305683, 10.788046580031079], [45.159769494585234, 10.788046580031079], [45.159769494585234, 10.787919182249848], [45.15967966305683, 10.787919182249848]]",0
Zone-2-9,"[[45.15967966305683, 10.788046580031079], [45.15967966305683, 10.78817397781231], [45.159769494585234, 10.78817397781231], [45.159769494585234, 10.788046580031079], [45.15967966305683, 10.788046580031079]]",0
Zone-2-10,"[[45.159769494585234, 10.788279663056821], [45.159769494585234, 10.78817397781231], [45.15967966305683, 10.78817397781231], [45.15967966305683, 10.788219775371218], [45.159769494585234, 10.788279663056821]]",0
Zone-3-4,"[[45.15982842313808, 10.787536988906155], [45.15985932611365, 10.787536988906155], [45.15985932611365, 10.78748401237661], [45.15982842313808, 10.787536988906155]]",0
Zone-3-5,"[[45.159769494585234, 10.787638009282459], [45.159769494585234, 10.787664386687386], [45.15985932611365, 10.787664386687386], [45.15985932611365, 10.787536988906155], [45.15982842313808, 10.787536988906155], [45.159769494585234, 10.787638009282459]]",0
Zone-3-6,"[[45.159769494585234, 10.787664386687386], [45.159769494585234, 10.787791784468617], [45.15985932611365, 10.787791784468617], [45.15985932611365, 10.787664386687386], [45.159769494585234, 10.787664386687386]]",0
Zone-3-7,"[[45.159769494585234, 10.787791784468617], [45.159769494585234, 10.787919182249848], [45.15985932611365, 10.787919182249848], [45.15985932611365, 10.787791784468617], [45.159769494585234, 10.787791784468617]]",0
Zone-3-8,"[[45.159769494585234, 10.787919182249848], [45.159769494585234, 10.788046580031079], [45.15985932611365, 10.788046580031079], [45.15985932611365, 10.787919182249848], [45.159769494585234, 10.787919182249848]]",0
Zone-3-9,"[[45.159769494585234, 10.788046580031079], [45.159769494585234, 10.78817397781231], [45.15985932611365, 10.78817397781231], [45.15985932611365, 10.788046580031079], [45.159769494585234, 10.788046580031079]]",0
Zone-3-10,"[[45.159802063390316, 10.78830137559354], [45.15985932611365, 10.78830137559354], [45.15985932611365, 10.78817397781231], [45.159769494585234, 10.78817397781231], [45.159769494585234, 10.788279663056821], [45.159802063390316, 10.78830137559354]]",0
Zone-3-11,"[[45.15985932611365, 10.78833955074243], [45.15985932611365, 10.78830137559354], [45.159802063390316, 10.78830137559354], [45.15985932611365, 10.78833955074243]]",0
Zone-4-3,"[[45.15990273851046, 10.787409591124923], [45.15994915764206, 10.787409591124923], [45.15994915764206, 10.787330015470758], [45.15990273851046, 10.787409591124923]]",0
