id,vertices_json,status
Zone-0-3,"[[45.156285031505014, 10.791009558929801], [45.15628983152841, 10.791009558929801], [45.15628983152841, 10.790942358602257], [45.156285031505014, 10.791009558929801]]",0
Zone-0-4,"[[45.15627593223841, 10.791136948662253], [45.15628983152841, 10.791136948662253], [45.15628983152841, 10.791009558929801], [45.156285031505014, 10.791009558929801], [45.15627593223841, 10.791136948662253]]",0
Zone-0-5,"[[45.15626683297181, 10.791264338394702], [45.15628983152841, 10.791264338394702], [45.15628983152841, 10.791136948662253], [45.15627593223841, 10.791136948662253], [45.15626683297181, 10.791264338394702]]",0
Zone-0-6,"[[45.1562577337052, 10.791391728127152], [45.15628983152841, 10.791391728127152], [45.15628983152841, 10.791264338394702], [45.15626683297181, 10.791264338394702], [45.1562577337052, 10.791391728127152]]",0
Zone-0-7,"[[45.1562486344386, 10.791519117859604], [45.15628983152841, 10.791519117859604], [45.15628983152841, 10.791391728127152], [45.1562577337052, 10.791391728127152], [45.1562486344386, 10.791519117859604]]",0
Zone-0-8,"[[45.156239535172, 10.791646507592054], [45.15628983152841, 10.791646507592054], [45.15628983152841, 10.791519117859604], [45.1562486344386, 10.791519117859604], [45.156239535172, 10.791646507592054]]",0
Zone-0-9,"[[45.15623043590539, 10.791773897324505], [45.15628983152841, 10.791773897324505], [45.15628983152841, 10.791646507592054], [45.156239535172, 10.791646507592054], [45.15623043590539, 10.791773897324505]]",0
Zone-0-10,"[[45.15622133663879, 10.791901287056955], [45.15628983152841, 10.791901287056955], [45.15628983152841, 10.791773897324505], [45.15623043590539, 10.791773897324505], [45.15622133663879, 10.791901287056955]]",0
Zone-0-11,"[[45.15621223737218, 10.792028676789405], [45.15628983152841, 10.792028676789405], [45.15628983152841, 10.791901287056955], [45.15622133663879, 10.791901287056955], [45.15621223737218, 10.792028676789405]]",0
Zone-0-12,"[[45.15620313810558, 10.792156066521857], [45.15628983152841, 10.792156066521857], [45.15628983152841, 10.792028676789405], [45.15621223737218, 10.792028676789405], [45.15620313810558, 10.792156066521857]]",0
Zone-0-13,"[[45.15628983152841, 10.792229943842804], [45.15628983152841, 10.792156066521857], [45.15620313810558, 10.792156066521857], [45.1562, 10.7922], [45.15628983152841, 10.792229943842804]]",0
Zone-1-2,"[[45.1563, 10.7908], [45.15629413077162, 10.790882169197351], [45.156379663056825, 10.790882169197351], [45.156379663056825, 10.790765858689934], [45.1563, 10.7908]]",0
